player_id,nom,équipe,position,taille,poids,expérience (années),âge
1631104,Blake Wesley,Spurs,Guard,6-3,185,2,22
201566,Russell Westbrook,Nuggets,Guard,6-4,200,16,37
1629632,Coby White,Bulls,Guard,6-5,195,5,25
1628401,Derrick White,Celtics,Guard,6-4,190,7,31
1641727,Dariq Whitehead,Nets,Guard-Forward,6-6,220,1,21
1641715,Cam Whitmore,Rockets,Forward,6-7,230,1,21
1630598,Aaron Wiggins,Thunder,Guard,6-5,190,3,26
203952,Andrew Wiggins,Heat,Forward,6-7,197,10,30
1630314,Brandon Williams,Mavericks,Guard,6-1,190,2,26
1642262,Cody Williams,Jazz,Forward,6-7,190,0,21
1629684,Grant Williams,Hornets,Forward,6-6,236,5,27
1631114,Jalen Williams,Thunder,Guard-Forward,6-5,211,2,24
1631119,Jaylin Williams,Thunder,Forward,6-9,240,2,23
1629026,Kenrich Williams,Thunder,Guard-Forward,6-6,210,6,31
1631109,Mark Williams,Hornets,Center,7-0,240,2,24
1631466,Nate Williams,Rockets,Guard,6-5,205,2,26
1630172,Patrick Williams,Bulls,Forward,6-7,215,4,24
1630533,Ziaire Williams,Nets,Forward,6-9,185,3,24
1629057,Robert Williams III,Trail Blazers,Center-Forward,6-9,249,6,28
1631246,Vince Williams Jr.,Grizzlies,Guard,6-4,205,2,25
1629627,Zion Williamson,Pelicans,Forward,6-6,284,4,25
1630592,Jalen Wilson,Nets,Forward,6-6,220,1,25
1626153,Delon Wright,Knicks,Guard,6-5,185,9,33
1627824,Guerschon Yabusele,76ers,Forward,6-8,265,2,30
1642443,Jahmir Young,Bulls,Guard,6-1,185,0,25
1629027,Trae Young,Hawks,Guard,6-1,164,6,27
1627826,Ivica Zubac,Clippers,Center,7-0,240,8,28
1641783,Tristan da Silva,Magic,Forward,6-8,217,0,24
1628427,Vlatko Čančar,Nuggets,Forward,6-8,236,4,28
203967,Dario Šarić,Nuggets,Forward-Center,6-10,225,7,31
